Hello,It's nice to see you!
whats the weather?,It's california! It's always sunny!
Can I have a drink,What can I get you?
Hello,Hey!
Hello,Hi there!
Hello,It's nice to see you!
Hello,Hi there!
Hello,Hi there!
hi bot,Can you try rephrasing that please?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=hi bot'>hi bot</a>
whats the weather,It's california! It's always sunny!
how are you?,I am well. How are you?
good thanks.,There are some things I just don't know about yet.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=good thanks.'>good thanks.</a>
Hello,Hi there!
hello,Hey!
hello,Hey!
hello!,Hello to you!
what time is it?,The time is now 4:11 PM EST
what day is it?,"Today is Monday, 3/30/2020"
Hello,Hey!
Hello,s'up!
hey there,There are some things I just don't know about yet.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=hey there'>hey there</a>
hello,Hey!
Hello,Hello to you!
Hello,It's nice to see you!
hey there,There are some things I just don't know about yet.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=hey there'>hey there</a>
hello,"hey there, good to see you!"
whats your name,ChatBot.
what do you do,The time is now 4:37 PM EST
Hello,s'up!
hey there,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=hey there'>hey there</a>
hello,Hello to you!
